ProductId,prompt1_scores,prompt2_scores,prompt3_scores,prompt1_total,prompt2_total,prompt3_total,prompt1_rank,prompt2_rank,prompt3_rank
246740,"[5, 5, 4, 4, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 4, 5]",23,24,23,2,1,3
247340,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
248360,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
248500,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
257900,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
258140,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
258300,"[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]",24,25,25,3,1,2
260700,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
262100,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
265340,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 5, 5, 5]",24,24,25,2,3,1
266020,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
268560,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
279960,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
280680,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]",24,24,24,1,2,3
280720,"[5, 5, 4, 4, 5]","[4, 5, 4, 3, 5]","[4, 5, 4, 3, 5]",23,21,21,1,2,3
283500,"[5, 5, 5, 5, 5]","[5, 5, 4, 4, 5]","[5, 5, 4, 5, 5]",25,23,24,1,3,2
284400,"[5, 5, 4, 5, 5]","[5, 5, 4, 5, 5]","[None, None, None, None, None]",24,24,0,1,2,3
285780,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
286140,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
287640,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
290880,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
294740,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
301820,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
301860,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
304980,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
307320,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
310520,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]",0,0,0,1,2,3
